"2019-09-23";"06:54:45";"WinControl (rev 848) report file"
"Datetime";"Date";"Time";"Type";"No.";"1:F";"1:Fm'";"1:PAR";"1:Y (II)";"1:ETR"
"";"";"";"D";"";"Device Nr: #1, Diving-PAM ";""
"2019-09-23 05:31:56.366";"2019-09-23";"05:31:56";"F";"2533";"409";"628";"198";"0.349";"29.0"
"2019-09-23 05:32:17.192";"2019-09-23";"05:32:17";"F";"2534";"406";"579";"295";"0.299";"37.0"
"2019-09-23 05:32:36.899";"2019-09-23";"05:32:36";"F";"2535";"402";"520";"475";"0.227";"45.3"
"2019-09-23 05:32:57.968";"2019-09-23";"05:32:57";"F";"2536";"389";"466";"700";"0.165";"48.5"
"2019-09-23 05:33:19.821";"2019-09-23";"05:33:19";"F";"2537";"381";"421";"1250";"0.095";"49.9"
"2019-09-23 05:34:08.324";"2019-09-23";"05:34:08";"FO";"2538";"199";"540";"0";"0.631";"0.0"
"2019-09-23 05:34:28.277";"2019-09-23";"05:34:28";"F";"2539";"253";"456";"60";"0.445";"11.2"
"2019-09-23 05:34:49.143";"2019-09-23";"05:34:49";"F";"2540";"212";"380";"85";"0.442";"15.8"
"2019-09-23 05:35:10.148";"2019-09-23";"05:35:10";"F";"2541";"197";"336";"120";"0.414";"20.9"
"2019-09-23 05:35:30.074";"2019-09-23";"05:35:30";"F";"2542";"191";"305";"198";"0.374";"31.1"
"2019-09-23 05:35:50.590";"2019-09-23";"05:35:50";"F";"2543";"189";"280";"295";"0.325";"40.3"
"2019-09-23 05:36:12.075";"2019-09-23";"05:36:12";"F";"2544";"188";"255";"475";"0.263";"52.5"
"2019-09-23 05:36:32.209";"2019-09-23";"05:36:32";"F";"2545";"182";"230";"700";"0.209";"61.4"
"2019-09-23 05:36:53.606";"2019-09-23";"05:36:53";"F";"2546";"180";"209";"1250";"0.139";"73.0"
"2019-09-23 05:37:33.668";"2019-09-23";"05:37:33";"FO";"2547";"445";"1437";"0";"0.690";"0.0"
"2019-09-23 05:37:53.452";"2019-09-23";"05:37:53";"F";"2548";"736";"1338";"60";"0.450";"11.3"
"2019-09-23 05:38:14.555";"2019-09-23";"05:38:14";"F";"2549";"640";"1144";"85";"0.441";"15.7"
"2019-09-23 05:38:34.500";"2019-09-23";"05:38:34";"F";"2550";"628";"1026";"120";"0.388";"19.6"
"2019-09-23 05:38:55.543";"2019-09-23";"05:38:55";"F";"2551";"647";"935";"198";"0.308";"25.6"
"2019-09-23 05:39:16.007";"2019-09-23";"05:39:16";"F";"2552";"652";"870";"295";"0.251";"31.1"
"2019-09-23 05:39:37.540";"2019-09-23";"05:39:37";"F";"2553";"664";"809";"475";"0.179";"35.7"
"2019-09-23 05:39:58.043";"2019-09-23";"05:39:58";"F";"2554";"658";"746";"700";"0.118";"34.7"
"2019-09-23 05:40:19.452";"2019-09-23";"05:40:19";"F";"2555";"640";"685";"1250";"0.066";"34.7"
"2019-09-23 05:41:12.715";"2019-09-23";"05:41:12";"FO";"2556";"262";"701";"0";"0.626";"0.0"
"2019-09-23 05:41:31.417";"2019-09-23";"05:41:31";"F";"2557";"336";"595";"60";"0.435";"11.0"
"2019-09-23 05:41:52.393";"2019-09-23";"05:41:52";"F";"2558";"282";"500";"85";"0.436";"15.6"
"2019-09-23 05:42:13.293";"2019-09-23";"05:42:13";"F";"2559";"266";"446";"120";"0.404";"20.4"
"2019-09-23 05:42:34.303";"2019-09-23";"05:42:34";"F";"2560";"259";"404";"198";"0.359";"29.9"
"2019-09-23 05:42:54.419";"2019-09-23";"05:42:54";"F";"2561";"254";"373";"295";"0.319";"39.5"
"2019-09-23 05:43:16.668";"2019-09-23";"05:43:16";"F";"2562";"252";"340";"475";"0.259";"51.7"
"2019-09-23 05:43:36.969";"2019-09-23";"05:43:36";"F";"2563";"247";"308";"700";"0.198";"58.2"
"2019-09-23 05:43:57.425";"2019-09-23";"05:43:57";"F";"2564";"244";"280";"1250";"0.129";"67.7"
"2019-09-23 05:44:39.861";"2019-09-23";"05:44:39";"FO";"2565";"339";"1099";"0";"0.692";"0.0"
"2019-09-23 05:45:00.918";"2019-09-23";"05:45:00";"F";"2566";"542";"998";"60";"0.457";"11.5"
"2019-09-23 05:45:20.893";"2019-09-23";"05:45:20";"F";"2567";"442";"842";"85";"0.475";"17.0"
"2019-09-23 05:45:42.334";"2019-09-23";"05:45:42";"F";"2568";"418";"744";"120";"0.438";"22.1"
"2019-09-23 05:46:02.862";"2019-09-23";"05:46:02";"F";"2569";"417";"667";"198";"0.375";"31.2"
"2019-09-23 05:46:23.309";"2019-09-23";"05:46:23";"F";"2570";"413";"608";"295";"0.321";"39.8"
"2019-09-23 05:46:43.606";"2019-09-23";"05:46:43";"F";"2571";"416";"554";"475";"0.249";"49.7"
"2019-09-23 05:47:05.543";"2019-09-23";"05:47:05";"F";"2572";"410";"497";"700";"0.175";"51.5"
"2019-09-23 05:47:25.944";"2019-09-23";"05:47:25";"F";"2573";"400";"441";"1250";"0.093";"48.8"
"2019-09-23 05:48:18.199";"2019-09-23";"05:48:18";"FO";"2574";"196";"510";"0";"0.616";"0.0"
"2019-09-23 05:48:39.190";"2019-09-23";"05:48:39";"F";"2575";"241";"402";"60";"0.400";"10.1"
"2019-09-23 05:49:00.074";"2019-09-23";"05:49:00";"F";"2576";"196";"326";"85";"0.399";"14.2"
"2019-09-23 05:49:21.075";"2019-09-23";"05:49:21";"F";"2577";"180";"289";"120";"0.377";"19.0"
"2019-09-23 05:49:41.405";"2019-09-23";"05:49:41";"F";"2578";"173";"261";"198";"0.337";"28.0"
"2019-09-23 05:50:01.716";"2019-09-23";"05:50:01";"F";"2579";"168";"239";"295";"0.297";"36.8"
"2019-09-23 05:50:22.986";"2019-09-23";"05:50:22";"F";"2580";"164";"219";"475";"0.251";"50.1"
"2019-09-23 05:50:43.105";"2019-09-23";"05:50:43";"F";"2581";"159";"197";"700";"0.193";"56.7"
"2019-09-23 05:51:04.684";"2019-09-23";"05:51:04";"F";"2582";"154";"178";"1250";"0.135";"70.9"
"2019-09-23 05:51:53.542";"2019-09-23";"05:51:53";"FO";"2583";"445";"1521";"0";"0.707";"0.0"
"2019-09-23 05:52:14.621";"2019-09-23";"05:52:14";"F";"2584";"754";"1406";"60";"0.464";"11.7"
"2019-09-23 05:52:36.055";"2019-09-23";"05:52:36";"F";"2585";"640";"1191";"85";"0.463";"16.5"
"2019-09-23 05:52:55.785";"2019-09-23";"05:52:55";"F";"2586";"607";"1055";"120";"0.425";"21.4"
"2019-09-23 05:53:17.486";"2019-09-23";"05:53:17";"F";"2587";"616";"957";"198";"0.356";"29.6"
"2019-09-23 05:53:38.153";"2019-09-23";"05:53:38";"F";"2588";"613";"877";"295";"0.301";"37.3"
"2019-09-23 05:53:57.794";"2019-09-23";"05:53:57";"F";"2589";"616";"802";"475";"0.232";"46.3"
"2019-09-23 05:54:19.554";"2019-09-23";"05:54:19";"F";"2590";"607";"722";"700";"0.159";"46.7"
"2019-09-23 05:54:39.736";"2019-09-23";"05:54:39";"F";"2591";"587";"646";"1250";"0.091";"47.8"
"2019-09-23 05:55:31.685";"2019-09-23";"05:55:31";"FO";"2592";"254";"659";"0";"0.615";"0.0"
"2019-09-23 05:55:51.605";"2019-09-23";"05:55:51";"F";"2593";"314";"509";"60";"0.383";"9.7"
"2019-09-23 05:56:12.350";"2019-09-23";"05:56:12";"F";"2594";"244";"396";"85";"0.384";"13.7"
"2019-09-23 05:56:33.359";"2019-09-23";"05:56:33";"F";"2595";"222";"340";"120";"0.347";"17.5"
"2019-09-23 05:56:54.796";"2019-09-23";"05:56:54";"F";"2596";"210";"302";"198";"0.305";"25.4"
"2019-09-23 05:57:14.622";"2019-09-23";"05:57:14";"F";"2597";"201";"269";"295";"0.253";"31.3"
